postTitle,postDescription,text
Mahabir Pun is at National Innovation Center.,,daro kharo kura aha
Mahabir Pun is at National Innovation Center.,,Ahileko Le garxan jasto xant xa sir nagarnejasto vayo vane hjr thaumaa hunuhunxa hjr Le dabdabaunuhunexa dherae ramro kuro uthaunuvayo dherae2 dhanyebat hjr lae balenle nagare kasaele gardaena… yoi athot xa sampurna jantaharuko ra hjr Le vandae aaunuvayeko xa pani .
Mahabir Pun is at National Innovation Center.,,2 Jana atyanta asahaya sukumbasi Nepali janata marda/marda chhun samma nabolne yo Mahabir date expire Tira unmukh chha.
Mahabir Pun is at National Innovation Center.,,"Agreed.. research, innovation, technology ma investment desh le nagarda ajako halat testo bhayeko ho.. Hope yo govt le garos bhaneko.. para lyayerana bhane feri dukhai paincha.. Garibi hataunu cha nava feri sukumbasi nahola bhanna sakinna"
Mahabir Pun is at National Innovation Center.,,aba ki bar Mahabir Pun ko sarkar huna parxa . naya bata aash thiyo tara khai k ho k ho.
Mahabir Pun is at National Innovation Center.,,Harka Sampang A Revolution lai samjai dinu paryo kaka Dhunge dazu laii 🫢🥱
Mahabir Pun is at National Innovation Center.,,Shai kura
Mahabir Pun is at National Innovation Center.,,Ramro Kura. Sir
Mahabir Pun is at National Innovation Center.,,Ramro garxu vaner aayeka hun ...sath chai dinu paryo sabaile 🙏🙏
Mahabir Pun is at National Innovation Center.,,"Fursat x hajur Lai, yeti sab herna lai"
Mahabir Pun is at National Innovation Center.,,"Garchan buda garchan
Garna nadiney lai bajey le facebook bata gali garna chodnu bhayena.
Mukhai chadey ni huncha"
Mahabir Pun is at National Innovation Center.,,Ho nii
Mahabir Pun is at National Innovation Center.,,Budaa le j vaye ni dhilo kura bujdai xa🤣🤣
Mahabir Pun is at National Innovation Center.,,Thuk hanu aba balen sarkar le desh ko kaya palat garcha desh bikash garcha raja le purano party lay deko thiyo hira tara tesle khandhar banaye ra ahile ko sarkar lay janta haru le kp oli ko hatha bata चिनेर balen lay deko cha khandar aba balen le kohinur banau cha
Mahabir Pun is at National Innovation Center.,,Sahi ho hi
Mahabir Pun is at National Innovation Center.,,Hami pani …🙏🏻🙏🏻
Mahabir Pun is at National Innovation Center.,,Aasa chha garnu hunchha hola balen sarkarle 🙏🇳🇵🇳🇵
Mahabir Pun is at National Innovation Center.,,Yo budo Le bokeko Kura chai man parxa Tara yo Harka Sampang Le boleko fitikai man pardaina
Mahabir Pun is at National Innovation Center.,,Sahi kura
Mahabir Pun is at National Innovation Center.,,Yo Kam garna jaruri xa balen ko dhyan jawos#balenshahnews
Mahabir Pun is at National Innovation Center.,,Ekdam sahi
Mahabir Pun is at National Innovation Center.,,Khai ahiel samma sukum basiko basti binas garnu bahek ke hi dekhiyeko xaina herdaijam k k garda raixa 🔔🔔🔔
Mahabir Pun is at National Innovation Center.,,baje yo choti pani budget halenan vane ni daro vetxan
Mahabir Pun is at National Innovation Center.,,Aba ko budget ma yeslai ramro sabhodan garnu parxa
Mahabir Pun is at National Innovation Center.,,Sojho sida vayer hunna raixa k mananiy jyu raspa ko jasto gufadi hunu pardo raix
Mahabir Pun is at National Innovation Center.,,"kohi garnu parna ho
8 oota ordinance ma tyo rakhda k janthyaou ra"
Mahabir Pun is at National Innovation Center.,,Mahabir budo kha harka ko ludo
Mahabir Pun is at National Innovation Center.,,Ekdam Sahi kura ho.....first ma new invention harulai priority diera economically deshlai uthau Ani aru kaam garam na......
Mahabir Pun is at National Innovation Center.,,Hajurko kura sunosh
Mahabir Pun is at National Innovation Center.,,Mahabir Pun lai bigyan tatha nabaparbanthan mantri xito niyukti gariyos
Mahabir Pun is at National Innovation Center.,,"Mahabir Pun sir, tapai ko kura ni suncha yo sarkar le kehi samaya parkhanu kehi na kehi hola ni..?? suru ma yo desh ko sabai fohor safa garnu parne cha."
Mahabir Pun is at National Innovation Center.,,"Anpadh tw anpadh padhe lekheka pani yui dyang ka mula hun ki k ho, herdai jum 😒"
Mahabir Pun is at National Innovation Center.,,"Sidai vetera kura rakhnus  sir..
Budget vanaune bela xa.. Garihalnu parxa"
Mahabir Pun is at National Innovation Center.,,Hamro pun budale j boleni tali bajxa garva lagxa mug vaneni veda haru khusi real baulata atapo dekhxu
Mahabir Pun is at National Innovation Center.,,Suva-kamana xa naya sarkhar lai 💐 🌹 🙏
Mahabir Pun is at National Innovation Center.,,"Paila jhotre jhamre adi sabai lai falnu parx 
Bivinna badha aunu ko karan eniharu hun
Ani matra hunxa kie garna sakinxa"
Mahabir Pun is at National Innovation Center.,,Hunxa ni sir yaspali xut xaina yo Sarkar lai
Mahabir Pun is at National Innovation Center.,,Sai ho
Mahabir Pun is at National Innovation Center.,,Budget ma aaula ni
Mahabir Pun is at National Innovation Center.,,Hajur le sallaha dinus naya lai bato dekjhaunus 😊
Mahabir Pun is at National Innovation Center.,,Sahi ho
Mahabir Pun is at National Innovation Center.,,Yo sarkar pani tei parako ho Ahile vatkaunu vandapni banaunu tarfa lagnu ramro hunethiyo tapaile vane jasto kurama ajhaipani jod diyana vane 500 barsa paxadi janexa nepal  china ko 70/80 million people lai k ghar bhatkayra garibi bata nikaleko ho ani Veda haru wa wa gardai basxan k vannu jantanai yestai vaya paxi .
Mahabir Pun is at National Innovation Center.,,I am from Balenside: herirahanus support garnus maile galat kam ke gardina yadakadi garihalexu vane tyo mero mistake ho sujhab ra sudharne mauka dinuhola hasta Dhanyabad  Tara ma agi badnai parxa kinaki ma janta ko biswas hu 🙏🙏🙏
Mahabir Pun is at National Innovation Center.,,Ma ni herdai xu dr. sir tr yo sarkar  lw nagare vane ab satabdisamm ni aaune sarkarle garna sakne wala xain.
Mahabir Pun is at National Innovation Center.,,buda manenan vane 1 round kick handeu eklai sakdainau vane malai ni bolau ma ni aauxu
Mahabir Pun is at National Innovation Center.,,Tyape muji ley k garxa aru ko ghar vatkai dinxa
Mahabir Pun is at National Innovation Center.,,Balen Sang baser vannu paro hajur le
Mahabir Pun is at National Innovation Center.,,"सही कुरो 
HARKE हवल्दार पछि BALEN ले माया गर्ने भनेको नै तपाई हो☺️🤭"
Mahabir Pun is at National Innovation Center.,,Innovation nae development ko bato ho vanni bujhna jaruri xa bato dekhauni hajur hunuhunxa dhukka xau tyo vayara nae chodxa
Mahabir Pun is at National Innovation Center.,,Waha ho real pratipaxi uff nispaxa
Mahabir Pun is at National Innovation Center.,,Tapai ta jane bujeko bekti hunuhuncha aso vetbarta huni bela guff garnu na yo besayama
Mahabir Pun is at National Innovation Center.,,Hiju matra pm le 52 million dollars 💵 rin linu vayaxa abo desh rin bokayara saline vaya.
Mahabir Pun is at National Innovation Center.,,Khoi yo sarkar suteko jasto lagyo purano jastai
Mahabir Pun is at National Innovation Center.,,"Sida kura garnu vayo 
 sabaile bujnu parne chei yo kura ho arukei bujna jaruri xaina..."
Mahabir Pun is at National Innovation Center.,,"Research nagari desh ta Nabanne nai ho, but paile safa garnu parne hola. Ministry of education antargat euta research wing banauda sajilo hola."
Mahabir Pun is at National Innovation Center.,,Ani thik vairaa xaina ta baa
Mahabir Pun is at National Innovation Center.,,Vakhar ta 1 mahina hudai xa timi buda pani kati pressure deko. Kitab bechna ma dhyan deuu
